Count of location,
Row Labels,Total
1935 ALISON CT SW @FRANCISCAN CLUB APT,8
1944 PIEDMONT CIR NE,8
1968 PEACHTREE RD NW,8
1975 ALISON CT SW,8
1977 MARTIN L KING JR DR NW,8
1991 DELOWE DR SW,8
2025 PEACHTREE RD NE @DARLINGTON APARTMEN,8
2043 CHESHIRE BRIDGE RD NE,8
2060 ALISON CT SW,8
2310 MARTIN L KING JR DR SW,8
2323 PIEDMONT RD NE,8
242 BOULEVARD SE,8
2453 CORONET WAY NW,8
2456 MARTIN L KING JR DR SW,8
250 PHARR RD NE,8
2517 DONALD LEE HOLLOWELL PKWY NW,8
265 PEACHTREE ST NE,8
2690 METROPOLITAN PKWY SW,8
2852 CASCADE RD SW @CASCADE SPRINGS NATU,8
2900 PEACHTREE RD NW,8
2909 CAMPBELLTON RD SW @CASCADE PINES APTS,8
2959 CAMPBELLTON RD SW,8
296 NORTHSIDE DR SW,8
3020 DELMAR LN NW,8
3040 HEADLAND DR SW,8
3340 PEACHTREE RD NE @TOWER PLACE,8
341 PONCE DE LEON AVE NE,8
3410 ALEXANDER RD NE,8
3450 FORREST PARK RD SE,8
349 14TH ST NW,8
3500 PEACHTREE RD NE @Multiple,8
3535 PEACHTREE RD NE @Multiple,8
356 BOULEVARD NE,8
3655 ROSWELL RD NE,8
384 WOODWARD WAY NW,8
3843 JONESBORO RD SE,8
405 FAIRBURN RD SW,8
4475 ROSWELL RD NE,8
470 16TH ST NW,8
50 MOUNT ZION RD SW @BRANDYWINE TOWNHOUS,8
529 PEACHTREE ST NE,8
537 PARK AVE SE @GRANT PARK,8
55 HILLIARD ST SE,8
595 NORTH AVE NW,8
644 JOSEPH E LOWERY BLVD NW,8
645 CASCADE AVE SW,8
659 AUBURN AVE NE,8
659 PEACHTREE ST NE @GEORGIAN TERRACE,8
675 PONCE DE LEON AVE NE @PONCE CITY MARKET,8
676 HIGHLAND AVE NE,8
745 HANSELL ST SE,8
75 5TH ST NW,8
755 NORTH AVE NE,8
757 CLEVELAND AVE SW,8
780 MAGNOLIA WAY NW,8
789 MAGNOLIA WAY NW,8
800 W MARIETTA ST NW @METROPOINTE LOFTS,8
842 PEACHTREE ST NE,8
847 PARSONS ST SW,8
900 JOSEPH E BOONE BLVD NW,8
902 DONALD LEE HOLLOWELL PKWY NW,8
909 PONCE DE LEON AVE NE,8
913 BERNINA AVE NE,8
929 CHARLES ALLEN DR NE @APS GRADY HS,8
1058 HOWELL MILL RD NW,7
1073 PIEDMONT AVE NE @PIEDMONT PARK,7
1075 PEACHTREE ST NE,7
1195 WOODLAND AVE NE,7
1205 METROPOLITAN AVE SE,7
1218 JOSEPH E BOONE BLVD NW,7
1231 GLENWOOD AVE SE,7
128 E ANDREWS DR NW,7
1297 JONESBORO RD SE,7
1371 MARKET ST,7
1375 PEACHTREE ST NE,7
140 PINE ST NE,7
1409 PEACHTREE ST NE,7
1445 MONROE DR NE,7
150 CARNEGIE WAY NW,7
1529 PIEDMONT AVE NE,7
156 MOURY AVE SW,7
161 PEACHTREE CENTER AVE NE,7
1611 ELLSWORTH INDUSTRIAL BLVD NW,7
1634 LAKEWOOD AVE SE,7
1685 RALPH D ABERNATHY BLVD SW,7
1700 STANTON RD SW,7
1739 MARTIN L KING JR DR NW,7
1752 PRYOR RD SW,7
180 RALPH D ABERNATHY BLVD SW,7
181 RALPH D ABERNATHY BLVD SW,7
1860 PEACHTREE RD NW,7
1888 CHESHIRE BRIDGE RD NE,7
1959 METROPOLITAN PKWY SW,7
1983 MARTIN L KING JR DR NW,7
200 PEYTON PL SW,7
2095 METROPOLITAN PKWY SW,7
2143 PEACHTREE RD NE,7
215 FORSYTH ST SW,7
2160 MONROE DR NE,7
2161 MORELAND AVE SE,7
221 CLEVELAND AVE SW,7
221 PEACHTREE CENTER AVE NE,7
235 PEACHTREE ST NE,7
240 N HIGHLAND AVE NE @PARISH FOODS,7
247 MORELAND AVE SE,7
2537 PIEDMONT RD NE,7
2572 LENOX RD NE,7
2611 SPRINGDALE RD SW,7
2612 STEELE AVE SW,7
2640 METROPOLITAN PKWY SW,7
270 17TH ST NW,7
275 BAKER ST NW,7
2770 LENOX RD NE,7
2989 CAMPBELLTON RD SW,7
2997 CAMPBELLTON RD SW,7
300 PETERS ST SW,7
304 OAKLAND AVE SE,7
311 COURTLAND ST NE,7
314 LUCKIE ST NW,7
3263 DONALD LEE HOLLOWELL PKWY NW,7
329 14TH ST NW,7
333 ANGIER AVE NE,7
3465 NORTHSIDE PKWY NW,7
3534 MARTIN L KING JR DR SW,7
361 17TH ST NW,7
3620 CAMP CREEK PKWY SW,7
3645 HABERSHAM RD NE,7
3721 CAMPBELLTON RD SW @BEN HILL PLAZA SC,7
375 18TH ST NW,7
3804 MARTIN L KING JR DR SW,7
3815 MARTIN L KING JR DR NW,7
400 MERRITTS AVE NE @CENTRAL PARK,7
410 14TH ST NW,7
415 FAIRBURN RD SW @HIDDEN HOLLOW APTS,7
435 JOSEPH E LOWERY BLVD SW,7
448 RALPH D ABERNATHY BLVD SW,7
4485 CAMPBELLTON RD SW,7
469 MARIETTA ST NW,7
48 BROAD ST SW,7
49 BOULEVARD NE,7
500 RICHARD ALLEN BLVD SW,7
505 FULTON ST SW,7
505 PHARR RD NE,7
520 BOULEVARD SE,7
535 LEE ST SW,7
548 NORTHSIDE DR NW,7
550 PHARR RD NE,7
585 MCDANIEL ST SW,7
600 MARTIN ST SE,7
600 PHIPPS BLVD NE,7
620 GLEN IRIS DR NE,7
635 LINDBERGH DR NE,7
655 HIGHLAND AVE NE,7
660 RALPH MCGILL BLVD NE,7
695 PYLANT ST NE,7
701 HIGHLAND AVE NE,7
711 COSMOPOLITAN DR NE,7
711 LEE ST SW,7
752 N HIGHLAND AVE NE,7
770 DECKNER AVE SW @PERKERSON PARK,7
7700 SPINE RD,7
809 MAGNOLIA WAY NW,7
825 MARTIN L KING JR DR NW @PUBLIX - MLK,7
828 RALPH MCGILL BLVD NE,7
835 MARTIN LUTHER KING JR DR NW,7
835 OGLETHORPE AVE SW,7
870 INMAN VILLAGE PKWY NE,7
89 LUCKIE ST NW,7
893 PEACHTREE ST NE @BULLDOG,7
925 BOWEN ST NW,7
942 HANK AARON DR SE,7
958 FOUNDERS DR SW,7
970 SPRING ST NW,7
976 OAKLAND DR SW,7
100 6TH ST NE,6
1001 PIEDMONT AVE NE,6
1029 MCDANIEL ST SW,6
1079 MARIETTA BLVD NW,6
1083 WESTVIEW DR SW,6
1100 PEACHTREE ST NE,6
1111 EUCLID AVE NE,6
1145 RALPH D ABERNATHY BLVD SW,6
1177 CONSTITUTION RD SE,6
1184 SPRING ST NW,6
12 ATLANTA AVE SW,6
12700 SPINE RD,6
135 W WIEUCA RD NW @CHASTAIN PARK,6
1385 JOSEPH E BOONE BLVD NW,6
1407 METROPOLITAN PKWY SW,6
147 26TH ST NW,6
1495 CHATTAHOOCHEE AVE NW,6
1530 CARROLL DR NW,6
1555 PEACHTREE ST NE,6
156 FORSYTH ST SW,6
1616 PIEDMONT AVE NE,6
165 COURTLAND ST NE,6
1739 CHESHIRE BRIDGE RD NE,6
180 MILTON AVE SW,6
1820 MARIETTA BLVD NW,6
184 MCDONOUGH BLVD SE,6
1871 PLAZA LN SW,6
1881 MYRTLE DR SW,6
1890 MYRTLE DR SW,6
1959 LAKEWOOD AVE SE,6
196 MONTGOMERY FERRY DR NE,6
1960 PERKERSON RD SW,6
1974 SYLVAN RD SW,6
2 DANIEL ST SE,6
200 EDGEWOOD AVE NE,6
200 N HIGHLAND AVE NE,6
2001 SYLVAN RD SW @CARIBU APTS,6
2034 METROPOLITAN PKWY SW,6
21 ELLIS ST NE,6
211 CLEVELAND AVE SW,6
2124 CHESHIRE BRIDGE RD NE,6
2175 PIEDMONT RD NE,6
2280 CAMPBELLTON RD SW,6
232 FORSYTH ST SW @GREYHOUND BUS DEPOT,6
2333 PEACHTREE RD NE,6
234 MEMORIAL DR SW,6
2400 PARKLAND DR NE,6
2405 FAIRBURN RD SW @BEN HILL PARK,6
2441 CHESHIRE BRIDGE RD NE,6
245 AMAL DR SW,6
2450 CAMELLIA LN NE,6
2482 MARTIN L KING JR DR SW,6
249 PETERS ST SW,6
2720 METROPOLITAN PKWY SW,6
2866 METROPOLITAN PKWY SW,6
290 MARGARET ST SE,6
2905 3RD AVE SW,6
2905 SPRINGDALE RD SW,6
2959 FORREST HILLS DR SW,6
303 PARKWAY DR NE @ATLANTA MEDICAL CEN,6
3180 MATHIESON DR NE,6
3183 PEACHTREE RD NE,6
330 BROWNLEE RD SW,6
336 JOSEPH E LOWERY BLVD NW,6
3377 PEACHTREE RD NE,6
3381 GREENBRIAR PKWY SW,6
3424 MARTIN L KING JR DR SW @ADAMSVILLE-COLLIER H,6
3443 KINGSBORO RD NE,6
3460 KINGSBORO RD NE,6
35 14TH ST NE,6
3500 PEACHTREE RD NE @SAKS FIFTH AVENUE,6
351 MORELAND AVE NE,6
3550 MARTIN L KING JR DR SW,6
358 FRASER ST SE,6
359 W LAKE AVE NW,6
36 JOHN PORTMAN BLVD NE,6
3660 MARTIN L KING JR DR SW,6
3724 MARTIN L KING JR DR SW,6
373 LEGACY DR SW,6
3850 JONESBORO RD SE @EXPOSITION CENTER,6
396 RAWSON ST SW,6
400 17TH ST NW,6
415 MEMORIAL DR SE,6
44 PRYOR ST SE,6
4465 CAMPBELLTON RD SW,6
447 MORELAND AVE NE,6
450 CAPITOL AVE SE,6
470 THOMASVILLE BLVD SE,6
484 MORELAND AVE NE,6
490 FAIRBURN RD SW,6
492 LARKIN ST SW,6
50 MOUNT ZION RD SE,6
500 MCDANIEL ST SW,6
505 WHITEHALL ST SW,6
515 FULTON ST SW,6
534 FAIRBURN RD NW,6
576 LEE ST SW,6
60 PASCHAL BLVD NW,6
600 GARSON DR NE,6
608 14TH ST NW,6
609 VIRGINIA AVE NE,6
625 PIEDMONT AVE NE,6
633 PRYOR ST SW,6
634 WHITEHALL ST SW,6
650 PONCE DE LEON AVE NE @WHOLE FOODS - PONCE,6
667 FAIRBURN RD NW,6
676 N HIGHLAND AVE NE,6
710 PEACHTREE ST NE,6
717 LEE ST SW,6
740 SIDNEY MARCUS BLVD NE,6
759 POLLARD BLVD SW,6
761 SIDNEY MARCUS BLVD NE,6
77 12TH ST NE,6
790 HUFF RD NW,6
794 JUNIPER ST NE,6
806 MAGNOLIA WAY NW,6
807 CASCADE AVE SW,6
807 CONLEY RD SE,6
814 MAGNOLIA WAY NW,6
817 W PEACHTREE ST NE @BILTMORE HOTEL,6
835 MARTIN LUTHER KING JR DR,6
875 HANK AARON DR SW,6
886 MARTIN L KING JR DR SW,6
888 3RD ST NW,6
930 SPRING ST NW,6
940 NEW TOWN CIR SE,6
97 10TH ST NW,6
98 WILLIAM H BORDERS DR SE @SELENA S BUTLER PARK,6
999 PEACHTREE ST NE,6
100 10TH ST NW,5
